"Story","Title","Result","Date","Stability","Duration (s)"
"DemandSupportCB27v4","CTA Background color","SUCCESS","2018-01-07T17:31:16.991+05:30[Asia/Calcutta]","0.0","37.04"
"DemandSupportCB27v4","Navigate to event page","SUCCESS","2018-01-07T17:31:55.690+05:30[Asia/Calcutta]","0.0","73.69"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T16:50:33.900+05:30[Asia/Calcutta]","0.0","37.32"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T16:51:13.552+05:30[Asia/Calcutta]","0.0","20.41"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T17:10:36.473+05:30[Asia/Calcutta]","0.0","46.89"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T17:11:23.600+05:30[Asia/Calcutta]","0.0","39.08"
"SegmentDivingCB25v2","Hoverover the hyperlinks","SUCCESS","2018-01-07T17:33:11.091+05:30[Asia/Calcutta]","0.0","57.64"
"SegmentDivingCB25v2","Navigate to segment page","SUCCESS","2018-01-07T17:34:10.558+05:30[Asia/Calcutta]","0.0","76.46"
"TimelyTilesHP11","TimelyTilesHP11 -CTA navigating to new page","SKIPPED","2018-01-07T17:35:29.265+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11 -Carousel Banner - Navigate through stories using nav arrows","SKIPPED","2018-01-07T17:35:29.279+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11- Carousel Banner - Nav arrows - Hover over state","SKIPPED","2018-01-07T17:35:29.282+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11 - Carousel Banner - Place dots - Hover over state","SKIPPED","2018-01-07T17:35:29.288+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11- Timely tiles tabs","SKIPPED","2018-01-07T17:35:29.291+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11 - Tiles with arrow icon","SKIPPED","2018-01-07T17:35:29.293+05:30[Asia/Calcutta]","0.0","0.0"
"TimelyTilesHP11","TimelyTilesHP11 - Tiles with arrow must have CTA button","SKIPPED","2018-01-07T17:35:29.295+05:30[Asia/Calcutta]","0.0","0.0"
